link,title,update,views,city,make,model,year,ban_type,colour,engine,ride,transmission,gear,is_new,price
https://turbo.az/autos/6677912-jeep-wrangler,"Jeep Wrangler, ",Yeniləndi: 04.09.2023,Baxışların sayı: 45926,Bakı,Jeep,Wrangler,2022,Offroader / SUV,Boz,2.0 L/272 a.g./Benzin,0 km,Avtomat,Tam,Bəli,79 500 USD
https://turbo.az/autos/7751449-porsche-cayenne-gts,"Porsche Cayenne GTS, ",Yeniləndi: 27.09.2023,Baxışların sayı: 1393,Gəncə,Porsche,Cayenne GTS,2009,Offroader / SUV,Qara,4.8 L/405 a.g./Benzin,180 000 km,Avtomat,Tam,Xeyr,34 700 AZN
https://turbo.az/autos/7036596-land-rover-discovery,"Land Rover Discovery, ",Yeniləndi: 27.09.2023,Baxışların sayı: 5372,Bakı,Land Rover,Discovery,2017,Offroader / SUV,Yaş Asfalt,2.0 L/240 a.g./Dizel,83 300 km,Avtomat,Tam,Xeyr,54 500 USD
https://turbo.az/autos/7388272-chevrolet-cruze,"Chevrolet Cruze, ",Yeniləndi: 27.09.2023,Baxışların sayı: 3562,Sumqayıt,Chevrolet,Cruze,2013,Sedan,Bej,1.4 L/140 a.g./Benzin,172 985 km,Avtomat,Ön,Xeyr,14 900 AZN
https://turbo.az/autos/7771961-nissan-tiida,"Nissan Tiida, ",Yeniləndi: 27.09.2023,Baxışların sayı: 18,Bakı,Nissan,Tiida,2012,Sedan,Ağ,1.5 L/109 a.g./Benzin,67 800 km,Avtomat,Ön,Xeyr,15 500 AZN
https://turbo.az/autos/7511456-hyundai-santa-fe,"Hyundai Santa Fe, ",Yeniləndi: 27.09.2023,Baxışların sayı: 3705,Sumqayıt,Hyundai,Santa Fe,2009,Offroader / SUV,Ağ,2.0 L/184 a.g./Dizel,170 074 km,Avtomat,Ön,Xeyr,25 700 AZN
https://turbo.az/autos/7625857-toyota-prado,"Toyota Prado, ",Yeniləndi: 27.09.2023,Baxışların sayı: 2735,Bakı,Toyota,Prado,2012,Offroader / SUV,Qara,2.7 L/163 a.g./Benzin,179 000 km,Avtomat,Tam,Xeyr,26 800 USD
https://turbo.az/autos/7738676-lada-vaz-2106,"LADA (VAZ) 2106, ",Yeniləndi: 27.09.2023,Baxışların sayı: 1653,Bakı,LADA (VAZ),2106,1993,Sedan,Qara,1.5 L/65 a.g./Benzin,54 200 km,Mexaniki,Arxa,Xeyr,3 300 AZN
https://turbo.az/autos/7373822-toyota-land-cruiser,"Toyota Land Cruiser, ",Yeniləndi: 27.09.2023,Baxışların sayı: 11717,Lənkəran,Toyota,Land Cruiser,2023,Offroader / SUV,Qara,3.5 L/415 a.g./Benzin,0 km,Avtomat,Tam,Bəli,122 000 USD
https://turbo.az/autos/7759364-mercedes-e-220,"Mercedes E 220, ",Yeniləndi: 27.09.2023,Baxışların sayı: 662,Sumqayıt,Mercedes,E 220,2003,Sedan,Qara,2.2 L/150 a.g./Dizel,197 287 km,Avtomat,Arxa,Xeyr,17 800 AZN
