title,city,brand,fields,values,price,update,views
"Volvo S90, ",Bakı,Volvo,"Şəhər,Marka,Model,Buraxılış ili,Ban növü,Rəng,Mühərrik,Yürüş,Sürətlər qutusu,Ötürücü,Yeni,Yerlərin sayı,Sahiblər,Vəziyyəti,Hansı bazar üçün yığılıb","Bakı,Sedan,Ağ,2.0 L/249 a.g./Benzin,16 500 km,Avtomat,Arxa,Xeyr,Vuruğu yoxdur, rənglənməyib,Rəsmi diler",42 000 USD,Yeniləndi: 20.09.2023,Baxışların sayı: 8963
"Lexus LX 600, ",Bakı,Lexus,"Şəhər,Marka,Model,Buraxılış ili,Ban növü,Rəng,Mühərrik,Yürüş,Sürətlər qutusu,Ötürücü,Yeni,Vəziyyəti,Hansı bazar üçün yığılıb","Bakı,Offroader / SUV,Qara,3.5 L/415 a.g./Benzin,0 km,Avtomat,Tam,Bəli,Vuruğu yoxdur, rənglənməyib,Rəsmi diler",190 777 USD,Yeniləndi: 26.09.2023,Baxışların sayı: 7523
"BMW 330, ",Bakı,BMW,"Şəhər,Marka,Model,Buraxılış ili,Ban növü,Rəng,Mühərrik,Yürüş,Sürətlər qutusu,Ötürücü,Yeni,Yerlərin sayı,Vəziyyəti","Bakı,Sedan,Yaş Asfalt,2.0 L/249 a.g./Benzin,69 700 km,Avtomat,Arxa,Xeyr,Vuruğu yoxdur, rənglənməyib",16 900 USD,Yeniləndi: 26.09.2023,Baxışların sayı: 20
"Toyota Highlander, ",Bakı,Toyota,"Şəhər,Marka,Model,Buraxılış ili,Ban növü,Rəng,Mühərrik,Yürüş,Sürətlər qutusu,Ötürücü,Yeni,Yerlərin sayı,Vəziyyəti,Hansı bazar üçün yığılıb","Bakı,Offroader / SUV,Ağ,2.5 L/249 a.g./Hibrid,0 km,Avtomat,Ön,Bəli,Vuruğu yoxdur, rənglənməyib,Dubay",51 500 USD,Yeniləndi: 26.09.2023,Baxışların sayı: 11
"Tofas Sahin, ",Bakı,Tofas,"Şəhər,Marka,Model,Buraxılış ili,Ban növü,Rəng,Mühərrik,Yürüş,Sürətlər qutusu,Ötürücü,Yeni,Yerlərin sayı,Sahiblər,Vəziyyəti,Hansı bazar üçün yığılıb","Bakı,Sedan,Qırmızı,1.6 L/98 a.g./Benzin,112 400 km,Mexaniki,Arxa,Xeyr,Vuruğu yoxdur, rənglənməyib,Avropa",6 900 AZN,Yeniləndi: 26.09.2023,Baxışların sayı: 32
"Hyundai Accent, ",Bakı,Hyundai,"Şəhər,Marka,Model,Buraxılış ili,Ban növü,Rəng,Mühərrik,Yürüş,Sürətlər qutusu,Ötürücü,Yeni,Vəziyyəti","Bakı,Sedan,Göy,1.4 L/107 a.g./Benzin,200 720 km,Avtomat,Ön,Xeyr,Vuruğu yoxdur, rənglənməyib",15 480 AZN,Yeniləndi: 26.09.2023,Baxışların sayı: 26
"Opel Astra, ",Bakı,Opel,"Şəhər,Marka,Model,Buraxılış ili,Ban növü,Rəng,Mühərrik,Yürüş,Sürətlər qutusu,Ötürücü,Yeni,Yerlərin sayı,Vəziyyəti,Hansı bazar üçün yığılıb","Bakı,Furqon,Göy,2.0 L/136 a.g./Benzin,290 000 km,Mexaniki,Ön,Xeyr,Vuruğu yoxdur, rənglənməyib,Avropa",3 700 AZN,Yeniləndi: 26.09.2023,Baxışların sayı: 14
"Subaru Impreza, ",Bakı,Subaru,"Şəhər,Marka,Model,Buraxılış ili,Ban növü,Rəng,Mühərrik,Yürüş,Sürətlər qutusu,Ötürücü,Yeni,Vəziyyəti","Bakı,Sedan,Qara,1.5 L/107 a.g./Benzin,290 000 km,Avtomat,Tam,Xeyr,Vuruğu yoxdur, rənglənməyib",10 800 AZN,Yeniləndi: 26.09.2023,Baxışların sayı: 27
"Mercedes Vito, ",Bakı,Mercedes,"Şəhər,Marka,Model,Buraxılış ili,Ban növü,Rəng,Mühərrik,Yürüş,Sürətlər qutusu,Ötürücü,Yeni,Yerlərin sayı,Vəziyyəti","Bakı,Minivan,Ağ,2.2 L/116 a.g./Dizel,680 000 km,Mexaniki,Arxa,Xeyr,Vuruğu yoxdur, rənglənməyib",21 500 AZN,Yeniləndi: 26.09.2023,Baxışların sayı: 13
"Hyundai Santa Fe, ",Bakı,Hyundai,"Şəhər,Marka,Model,Buraxılış ili,Ban növü,Rəng,Mühərrik,Yürüş,Sürətlər qutusu,Ötürücü,Yeni,Yerlərin sayı,Sahiblər,Vəziyyəti","Bakı,Offroader / SUV,Göy,2.0 L/184 a.g./Dizel,133 000 km,Avtomat,Ön,Xeyr,Vuruğu yoxdur, rənglənməyib",34 500 AZN,Yeniləndi: 26.09.2023,Baxışların sayı: 3120
