link,title,update,views,city,make,model,year,ban_type,colour,engine,ride,transmission,gear,is_new,price
https://turbo.az/autos/7622056-mercedes-g-63-amg,"Mercedes G 63 AMG, ",Yeniləndi: 26.09.2023,Baxışların sayı: 57162,Bakı,Mercedes,G 63 AMG,2023,Offroader / SUV,Yaşıl,4.0 L/585 a.g./Benzin,0 km,Avtomat,Tam,Avtomat,481 500 AZN
https://turbo.az/autos/7709986-hyundai-grandeur,"Hyundai Grandeur, ",Yeniləndi: 26.09.2023,Baxışların sayı: 2722,Bakı,Hyundai,Grandeur,2014,Sedan,Ağ,2.2 L/202 a.g./Dizel,280 000 km,Avtomat,Ön,Avtomat,31 600 AZN
https://turbo.az/autos/7611714-bmw-x5,"BMW X5, ",Yeniləndi: 26.09.2023,Baxışların sayı: 9612,Bakı,BMW,X5,2013,Offroader / SUV,Ağ,3.0 L/306 a.g./Benzin,265 000 km,Avtomat,Tam,Avtomat,21 000 USD
https://turbo.az/autos/7771332-hyundai-accent,"Hyundai Accent, ",Yeniləndi: 26.09.2023,Baxışların sayı: 89,Bakı,Hyundai,Accent,2011,Sedan,Ağ,1.4 L/108 a.g./Benzin,245 000 km,Avtomat,Ön,Avtomat,15 500 AZN
https://turbo.az/autos/7771337-ford-fusion,"Ford Fusion, ",Yeniləndi: 26.09.2023,Baxışların sayı: 52,Bakı,Ford,Fusion,2019,Sedan,Qara,2.0 L/190 a.g./Benzin,100 000 km,Avtomat,Ön,Avtomat,35 000 AZN
https://turbo.az/autos/7771333-lada-vaz-2109,"LADA (VAZ) 2109, ",Yeniləndi: 26.09.2023,Baxışların sayı: 92,Siyəzən,LADA (VAZ),2109,1989,Hetçbek,Bej,1.6 L/80 a.g./Benzin,1 800 000 km,Mexaniki,Ön,Mexaniki,4 000 AZN
https://turbo.az/autos/7771341-lada-vaz-2115,"LADA (VAZ) 2115, ",Yeniləndi: 26.09.2023,Baxışların sayı: 53,Bakı,LADA (VAZ),2115,2011,Sedan,Boz,1.6 L/81 a.g./Benzin,178 000 km,Mexaniki,Ön,Mexaniki,9 300 AZN
https://turbo.az/autos/7750426-lada-vaz-niva,"LADA (VAZ) Niva, ",Yeniləndi: 26.09.2023,Baxışların sayı: 6720,Bakı,LADA (VAZ),Niva,2002,Offroader / SUV,Ağ,1.7 L/80 a.g./Benzin,86 000 km,Mexaniki,Tam,Mexaniki,5 200 AZN
https://turbo.az/autos/7764107-lada-vaz-niva,"LADA (VAZ) Niva, ",Yeniləndi: 26.09.2023,Baxışların sayı: 1853,Bakı,LADA (VAZ),Niva,2005,Offroader / SUV,Ağ,1.7 L/80 a.g./Benzin,555 500 km,Mexaniki,Tam,Mexaniki,7 800 AZN
https://turbo.az/autos/7551975-nissan-tiida,"Nissan Tiida, ",Yeniləndi: 26.09.2023,Baxışların sayı: 470,Qəbələ,Nissan,Tiida,2012,Hetçbek,Qara,1.5 L/109 a.g./Benzin,59 540 km,Avtomat,Ön,Avtomat,14 500 AZN
https://turbo.az/autos/7756483-land-rover-range-rover,"Land Rover Range Rover, ",Yeniləndi: 26.09.2023,Baxışların sayı: 1394,Bakı,Land Rover,Range Rover,2015,Offroader / SUV,Yaş Asfalt,3.0 L/306 a.g./Dizel,182 000 km,Avtomat,Tam,Avtomat,56 000 USD
https://turbo.az/autos/7771342-hyundai-elantra,"Hyundai Elantra, ",Yeniləndi: 26.09.2023,Baxışların sayı: 59,Bakı,Hyundai,Elantra,2015,Sedan,Yaş Asfalt,1.8 L/150 a.g./Benzin,117 000 km,Avtomat,Ön,Avtomat,21 400 AZN
