link,title,update,views,city,make,model,year,ban_type,colour,engine,ride,transmission,gear,is_new,price
https://turbo.az/autos/7856320-hyundai-santa-fe,"Hyundai Santa Fe, ",Yeniləndi: 08.11.2023,Baxışların sayı: 3368,Bakı,Hyundai,Santa Fe,2014,Offroader / SUV,Qara,2.2 L/197 a.g./Dizel,98 547 km,Avtomat,Tam,Xeyr,38 540 AZN
https://turbo.az/autos/7883659-audi-q7,"Audi Q7, ",Yeniləndi: 08.11.2023,Baxışların sayı: 404,Bakı,Audi,Q7,2018,Offroader / SUV,Qara,2.0 L/252 a.g./Benzin,82 000 km,Avtomat,Tam,Xeyr,45 000 USD
https://turbo.az/autos/7833894-land-rover-rr-sport,"Land Rover RR Sport, ",Yeniləndi: 08.11.2023,Baxışların sayı: 527,Bakı,Land Rover,RR Sport,2015,Offroader / SUV,Göy,3.0 L/340 a.g./Benzin,98 000 km,Avtomat,Tam,Xeyr,59 500 USD
https://turbo.az/autos/7888222-mercedes-c-180,"Mercedes C 180, ",Yeniləndi: 08.11.2023,Baxışların sayı: 40,Bakı,Mercedes,C 180,1996,Sedan,Tünd qırmızı,1.8 L/122 a.g./Benzin,222 222 km,Avtomat,Arxa,Xeyr,9 700 AZN
https://turbo.az/autos/7279024-kia-optima,"Kia Optima, ",Yeniləndi: 08.11.2023,Baxışların sayı: 3243,Bakı,Kia,Optima,2013,Sedan,Ağ,2.4 L/180 a.g./Benzin,139 500 km,Avtomat,Ön,Xeyr,22 400 AZN
https://turbo.az/autos/7888220-toyota-prado,"Toyota Prado, ",Yeniləndi: 08.11.2023,Baxışların sayı: 34,Bakı,Toyota,Prado,2012,Offroader / SUV,Ağ,2.7 L/167 a.g./Benzin,160 000 km,Avtomat,Tam,Xeyr,26 500 USD
https://turbo.az/autos/7888223-lada-vaz-2107,"LADA (VAZ) 2107, ",Yeniləndi: 08.11.2023,Baxışların sayı: 57,Bakı,LADA (VAZ),2107,2006,Sedan,Ağ,1.6 L/75 a.g./Benzin,352 586 km,Mexaniki,Arxa,Xeyr,5 600 AZN
https://turbo.az/autos/7858017-kia-picanto,"Kia Picanto, ",Yeniləndi: 08.11.2023,Baxışların sayı: 3247,Bakı,Kia,Picanto,2008,Hetçbek,Qara,1.1 L/65 a.g./Benzin,126 000 km,Avtomat,Ön,Xeyr,9 300 AZN
https://turbo.az/autos/7888224-daewoo-nexia,"Daewoo Nexia, ",Yeniləndi: 08.11.2023,Baxışların sayı: 32,Bakı,Daewoo,Nexia,2009,Sedan,Ağ,1.5 L/80 a.g./Benzin,100 000 km,Mexaniki,Ön,Xeyr,4 800 AZN
https://turbo.az/autos/7861131-nissan-altima,"Nissan Altima, ",Yeniləndi: 08.11.2023,Baxışların sayı: 4823,Bakı,Nissan,Altima,2013,Sedan,Gümüşü,2.5 L/182 a.g./Benzin,239 000 km,Avtomat,Ön,Xeyr,21 500 AZN
https://turbo.az/autos/7735398-bmw-535,"BMW 535, ",Yeniləndi: 08.11.2023,Baxışların sayı: 20450,Bakı,BMW,535,2015,Sedan,Qara,3.0 L/306 a.g./Benzin,143 232 km,Avtomat,Arxa,Xeyr,26 800 USD
https://turbo.az/autos/7888238-toyota-land-cruiser,"Toyota Land Cruiser, ",Yeniləndi: 08.11.2023,Baxışların sayı: 11,Bakı,Toyota,Land Cruiser,2019,Offroader / SUV,Ağ,4.0 L/282 a.g./Benzin,88 700 km,Avtomat,Tam,Xeyr,73 500 USD
https://turbo.az/autos/7888226-ford-mustang,"Ford Mustang, ",Yeniləndi: 08.11.2023,Baxışların sayı: 14,Bakı,Ford,Mustang,2015,Kupe,Boz,2.3 L/317 a.g./Benzin,110 000 km,Avtomat,Arxa,Xeyr,22 666 USD
https://turbo.az/autos/7658691-land-rover-discovery,"Land Rover Discovery, ",Yeniləndi: 08.11.2023,Baxışların sayı: 2782,Bakı,Land Rover,Discovery,2017,Offroader / SUV,Göy,3.0 L/340 a.g./Benzin,55 000 km,Avtomat,Tam,Xeyr,42 500 USD
https://turbo.az/autos/7888230-hyundai-i30,"Hyundai i30, ",Yeniləndi: 08.11.2023,Baxışların sayı: 16,Salyan,Hyundai,i30,2011,Universal,Boz,1.4 L/106 a.g./Benzin,157 000 km,Mexaniki,Ön,Xeyr,15 700 AZN
https://turbo.az/autos/7888227-lada-vaz-2104,"LADA (VAZ) 2104, ",Yeniləndi: 08.11.2023,Baxışların sayı: 40,Bakı,LADA (VAZ),2104,2008,Universal,Tünd qırmızı,1.7 L/80 a.g./Benzin,47 000 km,Mexaniki,Arxa,Xeyr,11 000 AZN
https://turbo.az/autos/7847997-hyundai-santa-fe,"Hyundai Santa Fe, ",Yeniləndi: 08.11.2023,Baxışların sayı: 3660,Bakı,Hyundai,Santa Fe,2011,Offroader / SUV,Ağ,2.4 L/174 a.g./Benzin,178 000 km,Avtomat,Tam,Xeyr,26 200 AZN
https://turbo.az/autos/7888228-mercedes-axor-1840,"Mercedes Axor 1840, ",Yeniləndi: 08.11.2023,Baxışların sayı: 11,Bakı,Mercedes,Axor 1840,2012,Yük maşını,Gümüşü,12 L/440 a.g./Dizel,599 000 km,Avtomat,Arxa,Xeyr,52 500 AZN
https://turbo.az/autos/7800822-kia-sorento,"Kia Sorento, ",Yeniləndi: 08.11.2023,Baxışların sayı: 5554,Bakı,Kia,Sorento,2018,Offroader / SUV,Göy,2.0 L/184 a.g./Dizel,94 000 km,Avtomat,Ön,Xeyr,42 400 AZN
https://turbo.az/autos/7825445-land-rover-range-rover,"Land Rover Range Rover, ",Yeniləndi: 08.11.2023,Baxışların sayı: 4272,Bakı,Land Rover,Range Rover,2017,Offroader / SUV,Qara,3.0 L/360 a.g./Benzin,85 000 km,Avtomat,Tam,Xeyr,68 000 USD
https://turbo.az/autos/7879414-subaru-forester,"Subaru Forester, ",Yeniləndi: 08.11.2023,Baxışların sayı: 2373,Sumqayıt,Subaru,Forester,2007,Offroader / SUV,Qara,2.0 L/158 a.g./Benzin,400 000 km,Avtomat,Tam,Xeyr,10 900 AZN
https://turbo.az/autos/7773928-mazda-cx-9,"Mazda CX-9, ",Yeniləndi: 08.11.2023,Baxışların sayı: 3348,Bakı,Mazda,CX-9,2020,Offroader / SUV,Qəhvəyi,2.5 L/254 a.g./Benzin,41 400 km,Avtomat,Tam,Xeyr,41 500 USD
